Sentiment,Tweet
1,b'@lesiavasylenko I hit the heart button for #Ukraine. My breaks \xf0\x9f\x92\x94 over and over and over again seeing these devastating explosions and bombings. I share them so everyone is aware of the truth of Russia\xe2\x80\x99s inhumane actions against the people and the planet. #StandWithUkraine #StopRussia'
0,"b""@Heather_Jones5 A more accurate comparison would be to the fight #ExcludedUK after being ignored &amp; trodden over by an elected #CONman Gov, with over 30 suicides as result.\n\nHowever, nothing really compares to the #Ukraine, nor should it be used for political point scoring (or photo op's btw)."""
0,b'@SachaBaronCohen And is the Nation of Israel doing anything at all to help #Ukraine? Anything? \xf0\x9f\x92\x99\xf0\x9f\x92\x9b\xf0\x9f\x90\xbe\xf0\x9f\x90\xbe\xf0\x9f\x8c\xbb\xf0\x9f\x87\xba\xf0\x9f\x87\xa6\xf0\x9f\x8c\xbb\xf0\x9f\x8c\xbb\xf0\x9f\x8c\xbb\xf0\x9f\x8c\xbb'
0,b'@Imokyoureokok @KyivIndependent And strangely enough ways duck away just in time when Russian bombs hit civilian targets all over #ukraine . It\xe2\x80\x99s ridiculous'
0,"b""The absence of compassion from the Int'l Community towards the suffering of #Tigray|ans has become even more evident after the #UkraineWar where a desire to stop war is selectively demonstrated towards #Ukraine, ignoring #500DaysOfTigrayGenocide. @POTUS @NATO @UNPeacekeeping @UN"""
0,b'#Demonstrations against sending weapons to #Ukraine took place in #Rome and #Pisa'
0,b'- #Russia invasion of #Ukraine has overshadowed the atrocities and man-made famine #Tigrayans have fallen victim to for #500days. The IC must speak out against #TigrayGenocide and stand with the victims of war anywhere. @vickyford @EU_Commission @UKUN_NewYork @niinisto'
1,"b'Join @TheSyriaCmpgn in calling on @Twitter to stop allowing Putin to publish blatant disinformation about war crimes in #Ukraine, #Syria and elsewhere. Twitter must shut down all accounts being used to spread harmful disinformation'"
0,"b'Have we, as a species, not evolved enough to avoid such senseless and barbaric conflict?!?  #Ukraine #WARINUKRAINE'"
0,b'@TheMikeOldfield #Ukraine has better PR than mother Theresa'
0,b'- #Russia invasion of #Ukraine has overshadowed the atrocities and man-made famine #Tigrayans have fallen victim to for #500days. The IC must speak out against #TigrayGenocide and stand with the victims of war anywhere. @vickyford @EU_Commission @UKUN_NewYork @niinisto'
0,b'- #Russia invasion of #Ukraine has overshadowed the atrocities and man-made famine #Tigrayans have fallen victim to for #500days. The IC must speak out against #TigrayGenocide and stand with the victims of war anywhere. @vickyford @EU_Commission @UKUN_NewYork @niinisto'
0,b'@KyivIndependent Govt has a lot of call options on $SPY\n&amp; Putin knows this\xe2\x80\xa6\n\nWe\xe2\x80\x99ll see tmrw night if #Putin is really against #USA &amp; Ukraine.\n\n#Russia #Ukraine #Fakewar'
0,"b'#US has just made scapegoat of Ukraine with comedian at helm. They were never interested in the interest of #Ukraine other than to give trouble to #Russia. It only acts where it serves their purpose. Look at Iraq ,Syria, Afganistan. Great places ruined.:)'"
1,"b""@Kateryna_Kruk Prayers to you &amp; your child. Putin WONT win! #Ukraine needs Wantaqo'ti (peace) \n\n#SlavaUkrayini\n#StandWithUkraine\n\xf0\x9f\x87\xba\xf0\x9f\x87\xa6\xf0\x9f\xa4\x8d\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x92\x99\xe2\x9c\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x92\x94"""
0,"b""@albertksfong1 Hello. I would be much better if we #StopWarInUkraine. That's all I've thought about since the invasion of #Ukraine. Hope you are well. #Peace"""
0,"b'@SpazianiG @HannaLiubakova What should prevent #NATO from bombing those #Belarus roads, railways, bridges etc. to stop them from helping #Russia with an illegal #war against #Ukraine?'"
0,"b'The medias BS in getting Tuchel to join Man UTD by constantly being obsessed with him questioning his future. Daily Mail, The Sun etc no one reads your bs\xf0\x9f\x98\x82\n\n#Ukraine #Russia #USA #war #UkraineRussiaWar #nato #unitednations #sanctions #Abramovich #Chelsea #sanctions'"
0,"b""@AlexandruC4 #Ukraine reached Komyshany to the west of #Kherson yesterday as well as the airfield to the north. I wonder if they're sending detachments down to the southwest of the city to try and flank the Russians from yet another direction?"""
0,b'@ElizabethMay CPC claim is ridiculous. Their twisting the very real human tragedy happening in the #Ukraine to make it serve their own ends.'
0,"b'@NickAdamsinUSA Yup, Putin is using his words to promote his illegal invasion of #Ukraine. Not sure you should have pride in that.'"
0,"b'An anti-NATO protest was held in #Bulgaria on Saturday\n\nActivists said they were against Bulgaria giving its ""few remaining weapons"" to #Ukraine and were heard chanting, ""#NATO Out!""\n\nBulgaria has been a member of the alliance since 2004'"
0,"b'@olex_scherba Armenia has welcomed thousands of #Ukrainians &amp; given them refuge, despite the fact that #Ukraine continues to deny the #ArmenianGenocide &amp; turned its back on Armenians when #Azerbaijan &amp; #Turkiye massacred 5,000 of them. But you knew that &amp; U R just spreading disinformation.'"
0,"b""The overalls' color scheme for the latest #ISS mission was chosen to represent the Bauman #Moscow State Technical University, from which all three have graduated, long before the operation in #Ukraine, the company adds."""
0,b'- #Russia invasion of #Ukraine has overshadowed the atrocities and man-made famine #Tigrayans have fallen victim to for #500days.The IC must speak out against #TigrayGenocide and stand with the victims of war anywhere. @vickyford @EU_Commission @UKUN_NewYork @niinisto'
0,"b'@FoxNews The #Ukraine war broke out not beacause #Biden was too weak towards #Russia but because he was too tough and too hostile. When folly prevails over wisdom, the consequences can be dire.'"
1,b'So today is just another day. A long time in the #War with #Ukraine.  But it\xe2\x80\x99s getting stale and the news cycle is moving on. What a f\xe2\x80\x9dck up world we live in.  Next. #Putin remains an ass.'
1,"b""@lesiavasylenko Never again, said humanity facing war crimes from WWII. Today we are delaying in militarily DEFENDING #Ukraine against #Russia's #WarCrimes. There is no excuse for #NATO and #Europe: nothing they have done has stopped #Putin. @JosepBorrellF @OlafScholz @potus #StandWithUkraine"""
1,"b'@MavkaSlavka #Russia is the largest country in the world, second most powerful #Military in the world, 11th largest #economy... Does Putin need to destroy and invade other countries like #Ukraine? Unable to compete, to make fair alliances with NEIGHBORS? Need to crush them? Cheap!1\xf0\x9f\x87\xba\xf0\x9f\x87\xa6\xf0\x9f\x8c\xbb'"
1,"b""@apmassaro3 Never again, said humanity facing war crimes from WWII. Today we are delaying in militarily DEFENDING #Ukraine against #Russia's #WarCrimes. There is no excuse for #NATO and #Europe: nothing they have done has stopped #Putin. @JosepBorrellF @OlafScholz @potus #StandWithUkraine"""
1,"b""@olex_scherba Never again, said humanity facing war crimes from WWII. Today we are delaying in militarily DEFENDING #Ukraine against #Russia's #WarCrimes. There is no excuse for #NATO and #Europe: nothing they have done has stopped #Putin. @JosepBorrellF @OlafScholz @potus #StandWithUkraine"""
0,b'@reece_dinsdale When what he should have said was \xe2\x80\x9cThe United Kingdom may have left the EU but we stand united with our European neighbours over the appalling situation in #Ukraine &amp; will strain every sinew to oppose renewed #Russian agression in the region\xe2\x80\x9d but that would have taken a Statesman'
1,"b""@sentdefender Never again, said humanity facing war crimes from WWII. Today we are delaying in militarily DEFENDING #Ukraine against #Russia's #WarCrimes. There is no excuse for #NATO and #Europe: nothing they have done has stopped #Putin. @JosepBorrellF @OlafScholz @potus #StandWithUkraine"""
0,"b'@mikeysmith think it was ""God save The Queen"", and yes\n\nWith MP\'s like ours, that manage parliament on her behalf ... God is currently her only hope\n\nHer Majesties Government cant save anything ... except their own skins\n\nCould save #ExcludedUK if cared\n\n#JohnsonOut #Ukraine #GodSaveTheQueen'"
0,b'A deeply divided country. #Ukraine'
0,"b'as long as people can make money from wars, there will always be #wars, prolong wars. #peace&amp;love #endthewars #Ukraine #Yemen'"
1,"b""@lesiavasylenko @EmmanuelMacron @POTUS @KanzlerScholz @BorisJohnson Never again, said humanity facing war crimes from WWII. Today we are delaying in militarily DEFENDING #Ukraine against #Russia's #WarCrimes. There is no excuse for #NATO and #Europe: nothing they have done has stopped #Putin. @JosepBorrellF @OlafScholz @potus #StandWithUkraine"""
1,"b""@KyivIndependent Never again, said humanity facing war crimes from WWII. Today we are delaying in militarily DEFENDING #Ukraine against #Russia's #WarCrimes. There is no excuse for #NATO and #Europe: nothing they have done has stopped #Putin. @JosepBorrellF @OlafScholz @potus #StandWithUkraine"""
0,"b'#China should use their influence to stop #Russia attacks on #Ukraine or be considered United with Russian aggression on a global stage, hmm...'"
0,b'#thecourier movie on @netflix - good watch - echoes of #putin and #ukraine from days of #cuba and #krushchev - apt for where we find ourselves'
0,b'#BLOOMBERG AND #NBC REPORTING #BREAKINGNEWS #NATO to send fighter planes to Ukraine for military support. #RUSSIA #UKRAINE'
0,b'- #Russia invasion of #Ukraine has overshadowed the atrocities and man-made famine #Tigrayans have fallen victim to for #500days. The IC must speak out against #TigrayGenocide and stand with the victims of war anywhere. @vickyford @EU_Commission @UKUN_NewYork @niinisto'
0,b'- #Russia invasion of #Ukraine has overshadowed the atrocities and man-made famine #Tigrayans have fallen victim to for #500days. The IC must speak out against #TigrayGenocide and stand with the victims of war anywhere. @vickyford @EU_Commission @UKUN_NewYork @niinisto'
0,b'@StevenBeschloss Actions speaks louder than looks! Putin didn\xe2\x80\x99t invade #Ukraine he waited for another Democrat POTUS. He smelled weakness &amp; frailty\xe2\x80\xa6#TruthMatters'
0,"b""A change in image for the Red Star Belgrade ultras as the entire stadium waves phone torches and belts out John Lennon's 'Give Peace A Chance'. #fkcz #crvenazvezda #ukraine #RangersFC"""
1,"b""#Putin has #won ! #Ukraine will not seek to enter #Nato Now if you do not like how a country chooses to live #attack them and #force them to bend to your will.  don't like your neighbors friends? burn down their home. we can all live like #china #russia #northkorea"""
0,b'#BREAKINGNEWS #NATO to send fighter planes to Ukraine for military support. #RUSSIA #UKRAINE'
0,b'@BillClinton To do WHAT in #Ukraine ?? I hope without you wife'
0,"b'#UkraineRussiaWar  #Ukraine #UkraineWar \n\n""Right Sector"" in #Kherson TERMINATED.'"
1,"b'@ua_parliament Good night #Ukraine. I promise, we will fight and not let our leaders get away with their cheap excuses. We will not give up until they FINALLY do everything they can. Stay strong! \xf0\x9f\x87\xba\xf0\x9f\x87\xa6\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\xaa'"
0,b'@FoxNews No one will come to help. The only help #Ukrainians gets would be from #Zelensky!\nTell him to start being a #Politician not #Comedian. \nRespect #Russia so that #Ukraine\xef\xb8\x8f could also be respected. Don\xe2\x80\x99t let #Ukraine be anyones toy!\nThis is life and real!'
1,"b'@pechochurita @YouTube It is not a ""#Ukraine #Russia conflict"".\nIt is an invasion of the Fukking Russians\n\n#StopPutinNOW #StopRussia \n#StandWithUkraine'"
0,b'If @RepMattShea starts bringing back or arranging for kids to be brought from #Ukraine the @fbi should take note.\n#childtrafficking'
0,b'@Apple @AppleSupport please do something about people flooding app reviews related to #Ukraine in the App Store. It\xe2\x80\x99s getting annoying and totally irrelevant to the purpose of app reviews.'
0,b'@KyivIndependent Depopulate the region? Sounds familiar\xe2\x80\xa6 #Azerbaijan ? \xf0\x9f\xa7\x90 #Armenia #Ukraine'
0,"b""$APPL and $GOOG can't you just update all Russian iPhones and Androids to inform a little bit about what's happening in #Ukraine ?"""
1,"b'@PanjshirProvin1 Nonsense. Dictator #Putin, the enemy of a #free and #democratic society, wants to prevent it from developing in #Ukraine by any means necessary. Any #warcrime is fine with him for that. #PutinMakesRussiaAPariahState'"
1,b'@Newsweek After Putin decimated the country? Will Russia build it back? Concede to nothing! #StandWithUkraine #Ukraine \xf0\x9f\x87\xba\xf0\x9f\x87\xa6\xf0\x9f\x8c\xbb #RussiaInvasion #RussiaInvadedUkraine #RussiaUkraineWar'
0,"b'@tormid1951 The very thought is distasteful - we are responding to #Ukraine as fellow members of the human race in general, and fellow Europeans in particular.'"
0,b'@JGrant5291453 Coincidence or not. I do not think #Putin laughs so he dies?\n#Ukraine'
0,b'@sajid_nadeem78 \xf0\x9f\x87\xaa\xf0\x9f\x87\xb9PM urges #Ukraine #Russia to talk PEACE but immediately after bombs Shire killing dozens #Tigrayan civilians &amp; still no relief from #TigraySiege\nHow long must #Tigray endure this holocaust?\n@FLOTUS @BradSherman @DavidAltonHL @Jeremy_Hunt @SenatorMenendez @cnn @BBC \nplease HELP!'
0,"b""@stoa1984 @oryxspioenkop somehow I think the bad quality is from download, I see many many videos from #Ukraine and they are like from 2010 because of 3G-system... #Ukrainians they don't have 4K quality or 4G..."""
0,b'@Alex_Uhtz @JeroenLoos1 @Sorrelz @avalaina I find it interesting that most support for Putin\xe2\x80\x99s invasion of #Ukraine comes from people who live in totalitarian states or in lands run by military juntas and jihadis.  Not surprising.  Just worth noting.'
0,"b""#NATO Secretary General visit to #Germany \xf0\x9f\x87\xa9\xf0\x9f\x87\xaa\n\n@JensStoltenberg consulted with @Bundeskanzler Scholz and other German political leaders on Russia's brutal invasion of #Ukraine \xf0\x9f\x87\xba\xf0\x9f\x87\xa6\n\n\xe2\xac\x85\xef\xb8\x8f @NATO"""
0,"b'We offer Online class homework, assignment and exam expert writers help with \nThesis \nDissertation \n#physics\nEssay help\n#english\n#maths\n#chemistry\n#Geography \n#philosphy\n#Bussiness law\n#psychology\n#economics\n#java scripts\nDm @helperwriters2 \n\n#USA #ukraine #Russians #UK #UAE'"
1,"b""@NewVoiceUkraine Well, we might know but it is shocking news for my Chancellor @Bundeskanzler Mr. Scholz. He is convinced that only talks can end this war. And that we should not put oil into the fire... Reality IMHO: #Putin is on madman's killing spree and #Ukraine needs more support! \xf0\x9f\x87\xba\xf0\x9f\x87\xa6\xf0\x9f\x87\xba\xf0\x9f\x87\xa6\xf0\x9f\x87\xba\xf0\x9f\x87\xa6\xf0\x9f\x87\xba\xf0\x9f\x87\xa6\xf0\x9f\x87\xba\xf0\x9f\x87\xa6"""
0,"b'@_JakubJanda It\xe2\x80\x99s a fork stuck in the road, more for #germany than US. It\xe2\x80\x99s the people of germany who need to decide whether they can rally #eu to not leave #ukraine alone fighting tyranny.'"
0,"b'@PreetBharara @Kasparov63 @ianbremmer @mccaffreyr3 @POTUS need\xe2\x80\x99s to do this instead: A de facto NFZ exists in 4 #NATO countries bordering #Ukraine. Expand that NFZ 100mi. into Ukraine, with ROE limited to eliminating RU air &amp; ground in that zone only. It provides a \xe2\x80\x9csafer\xe2\x80\x9d zone for refugees &amp; other. @ZelenskyyUa @DefenceU #Russia'"
1,"b'@POTUS please provide massive defense assistance to #Ukraine \xe2\x86\x92 all-arms air defence system, anti-UAV defence system, more heavy weapons, early warning systems for missile attacks. #StandWithUkraine #UkraineUnderAttack'"
0,"b'#Ukraine\xf0\x9f\x87\xba\xf0\x9f\x87\xa6 signed 1994 #BudapestMemorandum w/ #US, #UK &amp; #Russia, giving up #nuclear weapons for #Sovereignty, #TerritorialIntegrity. \n\nDiscovered it\xe2\x80\x99s worthless promise. We\xe2\x80\x99ve sown seeds for future conflict.\xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\n\nHumans greedy, selfish, stupid, perpetually shortsighted. \xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'"
0,"b'We offer Online class homework, assignment and exam expert writers help with \nThesis \nDissertation \n#physics\nEssay help\n#english\n#maths\n#chemistry\n#Geography \n#philosphy\n#Bussiness law\n#psychology\n#economics\n#java scripts \n@paperwritingpr\n\n#USA #ukraine #Russians #UK #UAE'"
1,b'#Ukraine \n#VolodymyrZelenskyy\n#VladimirPutin \n#russia\n#BorisJohnson \n#Baiden \n#UnitedNations \n#Europe \n#Kyiv \n#UnitedKingdom\nMr.Putin -\xf0\x9f\x91\x87\xf0\x9f\x8f\xbf\nInjustice anywhere \nIs a threat to justice everywhere.\n              Martin Luther King jr'
0,b'@LorenzoTheCat @NewVoiceUkraine So many Animal-Lovers in #Ukraine.\n\nIt\xe2\x80\x99s heartwarming \xf0\x9f\x92\x95\xf0\x9f\x92\x95\xf0\x9f\x92\x95\n\nEven though their worlds are being torn apart they won\xe2\x80\x99t forget their Furry Family Members \xf0\x9f\x92\x95\xf0\x9f\x92\x95\xf0\x9f\x92\x95\xf0\x9f\x92\x95\n\n#FuckPutin\n\n#StandWithUkraine\n@ZelenskyyUa #Zelenskyy \xf0\x9f\x92\x95\xf0\x9f\x87\xba\xf0\x9f\x87\xa6\xf0\x9f\x8f\xb3\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x8c\x88'
0,"b'@timkmak Buy that man a dinner. And a few airplanes. Some switchblades might be nice, and maybe some more Javelins. #Zelenskyy #Ukraine'"
0,"b""Russian forces refuse to provide food, water and safe passage to thousands of Mariupol residents who managed to escape from Russian bombs in occupied Manhushi and Melekin: #Ukraine's The Kyiv Independent quotes head of Donetsk Military-Civil Administration, Pavlo Kyrylenko"""
0,b'- #Russia invasion of #Ukraine has overshadowed the atrocities and man-made famine #Tigrayans have fallen victim to for #500days. The IC must speak out against #TigrayGenocide and stand with the victims of war anywhere. @vickyford @EU_Commission @UKUN_NewYork @niinisto'
0,b'@elonmusk @IzielleMk #Ukraine #NATO #Russia \nso did Elon tell the Ukrainians to do like this?\n- obviously not. \nIt is a very dangerous idea. \nthe Swedish policeforce does it anyway. giving cakes &amp; coffee to deadly lawless imported people hasnt stopped any crime.. #svpol #Vengeance #TurnTheOtherCheek'
0,"b'@jtravisactor @Kld98689834 @jha_ras34 @JenniferJJacobs @StephanieBodoni @AlbertoNardelli The biggest innovations and disruptions are done based on necessity. It\xe2\x80\x99s gonna hurt like a b*tch (still nothing close to compare what #ukraine is enduring), but it\xe2\x80\x99s our wake up call to push for energy independence and fast track stop using fossil fuel \xf0\x9f\xa4\x9e'"
0,b'The world admirably reacted to what is happening in #Ukraine. let the world now show a fraction of that same reaction to what has been happening in #Tigray for 16 months by ending #TigraySiege. #StopTigrayGenocide @EU_Commission @SecBlinken @JosepBorrellF @antonioguterres'
0,"b'As the world\'s attention has turned to #Ukraine, #500DaysOfTigrayGenocide have been unleashed by Ethiopian and Eritrean forces unimpeded. \xe2\x80\x9cInjustice anywhere is a threat to justice everywhere."" When will the world\'s compassion extend to innocent civilians in Tigray? #ICC @UNOCHA'"
1,b'@RomaKava What a terror. So horrible for #Ukraine #StopWar #PutinWarCrimes #peace #RebuildUkraine \xf0\x9f\x92\x99\xf0\x9f\x92\x9b\xf0\x9f\x87\xba\xf0\x9f\x87\xa6'
0,b'Soooooo #Congress dropped aid to citizens they FUC#ED over for 2 years transfering tax dollars to the wealthy but approved $13+ BILLION  to #Ukraine for a DISTRACTION WAR used to continue divide/conquer narratives! WHEN do SHEEP realize 1% is FUC#ING them? #CronieCapitalism'
0,"b'MBS and the Saudi regime executed 81 people today. 81.\n\nTh same regime the United States counts as a primary ally, and turns a blind eye to while \xe2\x80\x9cstanding up for democracy in #Ukraine.\xe2\x80\x9d'"
0,b'@MadAtTheGalaxy @anders_aslund Make no mistake: \n#Ukraine suddenly looks like a distraction of the real action.\n\nWe are in 1942 - not 2022.\nThink about #Putin Hitler plans if he had the equippment of today.\n\nWhile the West is cheering UKR heroes (with good reason!) #Russia plans attack on EastEurope or other.'
0,b'11 employees of the Belarusian embassy left #Ukraine. The last employee crossed the border today at 9 am. This is quite worrying... Reported by @HannaLiubakova'
0,"b'How could #Russia have been so emboldened to invade &amp; destroy its neighbor, #Ukraine?\nAre there really no guidelines to stop these deprave men when they decide  to act out their madness? Same madness going on in #SouthernCameroons but their plight isn\xe2\x80\x99t even a blip on any radar.'"
0,"b'#Ukraine reports that 6,623 people were evacuated via humanitarian corridors. 4,128 people left #Mariupol for #Zaporezhye, 1,820 from #Kiev, and 675 from #Lugansk. Food and medicines were delivered to the Luhansk region.'"
1,b'What else must happen before you understand that active military action to _stop_ #Putin in #Ukraine is the only way to prevent him from using nuclear weapons?\n@Bundeskanzler @EmmanuelMacron @BorisJohnson @ABaerbock @kajakallas @antoniocostapm @MarinSanna'
0,"b""@Gary1609 @Thelma_DWalker @Keir_Starmer @UKLabour I know #DrFauci/@EcoHealthNYC created #COVID19 in #WuhanLab with $600mill @CIA funding &amp; even more lethal #GainOfFunction strains similar 2 the #US #BioLabs in #Ukraine there r 30 of them 360 worldwide\nbut you're a #MSM cuckoo so I expect you 2 shout conspiracy &amp; feel empowered"""
0,b'Some things are bigger than sports. Nothing is bigger than March #Ukraine'
0,"b""@Badbwoy301 @BBCWorld It seems to me like the West wants to \xc3\xadnduce Russia to use a nuke - by arming Ukraine. It's crystal clear to see. #Ukraine"""
0,b'Any peace talk with 1 of the worst genocidaries in \xf0\x9f\x87\xaa\xf0\x9f\x87\xb9 is like Jews shaking hands with Hitler. Tigrayans were to be erased by inviting 1 of the worst Eritrean barbarians &amp; Somalis to occupy &amp; involving #UAE #Turkey #Iran #China #Russia #Ukraine etc. Better to die as free people.'
0,"b""@neillooe @HelenKeeler @mod_russia you're saying other coutries like #Ukraine doesn't have its own choice because #Ukraine needs get approval from #Putin first?"""
0,"b'Motto for today: No more time-wasting talks with #China\xe2\x80\x99s #Communists, on #Ukraine or anything else.'"
1,"b'Those who argue that Ukraine should give up its desire to join NATO don\xe2\x80\x99t  understand Ukraine. At all.\n\nIt\xe2\x80\x99s not about #NATO, it\xe2\x80\x99s about #Ukraine having the right to decide its own fate. No one will take this away from us.\n\n@mrsorokaa'"
0,"b""@morphonios That's not happening now. Russia's been pushed back 75 km from Nikolaev &amp; was defeated in several towns north of #Kherson (like Zaporizhizhia). #Ukraine now approaching the air field to the north, in a town to the west &amp; shelling southeast of Kherson. Russian retreat more likely."""
0,"b""@TerrinaMajnoona @EclecticRadical He'd have been destroyed by the N*** regime. \xf0\x9f\x87\xb7\xf0\x9f\x87\xba would have had to save him too.\n#Putin #IStandWithPutin #istandwithrussia #NaziUkraine #Russian #Russia #USA #EU #Azov #Ukraine #Europe #China #BRICS"""
1,b'@MarshaBlackburn Children and pregnant women are being slaughtered in #Ukraine.  Care to comment? #OnHerKnees'
0,"b'Once #Ukraine did provide 8000 soldiers to establish democracy in Iraq... 60 years before that, it provided 8 battalions to Hitler`s dreams.\n\n#UkraineRussianWar'"
1,"b'@BBCWorld Zelenskyy should have thrown the towel in on day 1 of the invasion. One innocent life lost is one too many, in my opinion. Ukraine has been used like a pawn. Its painful to watch innocent civilians losing their lives thanks to political strategy. Its very sad to observe. #Ukraine'"
1,b'When is #Putin going to get prosecuted for war crimes? #Ukraine'
1,"b'Civilians just wanted to buy some bread in #Chernihiv #Ukraine\n#russia soldiers opened fire and shot those who were waiting in the queue. \n\nAnother war crime that cannot be forgotten. It cannot be forgiven, either.'"
1,b'Violence is survival tool for humans like animals in violent situations. Unprovoked violence is strange. Such a person is a potential danger and a concern to anyone. #Ukraine #Russia Violence'
0,b'I wonder how many would have complained against the invasion of #Ukraine if it were anyone else than #Russia who has done it...?\n\n#UkraineRussianWar #UkraineRussia'
1,b'Violence is survival tool for humans like animals in violent situations. Unprovoked violence is strange. Such a person is a potential danger and a concern to anyone. #Ukraine #Russia Violence'
0,b'@lorenzo_tondo @TownsendMark You are aware #Ukraine isnt an actual country right and by a technicality Ukrainians started it.'
0,"b""@AdamKinzinger Nah, they're anti empire, anti n***.\n#Putin #IStandWithPutin #istandwithrussia #NaziUkraine #Russian #Russia #USA #EU #Azov #Ukraine #Europe"""
0,"b'@Rogozin Thank you for supporting #slavaUkraini - and standing up against #russia war in #Ukraine - Your astronauts stand up where @rogozin does not. And meanwhile they smile at @rogozin with a wink in their eyes, telling him its the school colors \xf0\x9f\x98\x9c'"
1,b'Violence is survival tool for humans like animals in violent situations. Unprovoked violence is strange. Such a person is a potential danger and a concern to anyone. #Ukraine #Russia Violence'
0,"b""Neighbourhood coffee shop: neighbourX (Nex): I see U followin' #Ukraine thin' all ' time. Me: Yeap Nex: U scared? Me:No Just terrified Nex: U don't look terrified Me: I know &amp;that's why you should be terrified too. Nex: U scary man Me: And you. Nex:\xf0\x9f\x99\x84\xf0\x9f\x98\xb5\xe2\x80\x8d\xf0\x9f\x92\xab\xf0\x9f\x98\xac #StandWithUkraine"""
0,b'@lesiavasylenko How do you know they havnt ? Many Russians have been protesting against all this hate and violence happening in #Ukraine'
0,"b""@anders_aslund @POTUS #Biden's record is much better than #Obama, #Trump performed. Still, too little too late. Bloodbath in #Mariupol is the price for hesitation, closed doors for #Ukraine on #NATO, and failure to comprehend #Putin in time. And the bill is not closed yet."""
0,"b'@AdamKinzinger They look pretty legit to me, unlike the ones your empire uses.\n\nCheer up, at least you have Twitter. \xf0\x9f\x98\x8e\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\n\n#Putin #IStandWithPutin #istandwithrussia #NaziUkraine #Russian #Russia #USA #EU #Azov #Ukraine #Europe'"
1,"b'FP is a Georgian scientific, technological, astronomical portal that publishes information on  Twitter in English, and in native language on Fb and Instagram.  \nHowever, at this stage, we support #Ukraine and publish information only about Ukraine. \xf0\x9f\x87\xba\xf0\x9f\x87\xa6 \n\nJoin our family \xf0\x9f\x92\x99\xf0\x9f\xa7\xa1'"
0,"b'@NewsHour I wish more people in #ukraine had taken the warnings by the US serious. But on the other hand, it was pretty obvious the defense was going to depend on civilian manpower. #Zelenskyy needed calm before the storm.'"
0,"b'When Iraq and Afghanistan were to have been a security threat to the USA, then #Ukraine is a clear and imminent threat to #Russia \n\n#UkraineRussia #RussiaInvadedUkraine'"
0,"b'@FoxNews To Le Yucheng: #Russia invaded #Ukraine, #invasion unprovoked, @NATO doesn\xe2\x80\x99t expand, countries apply for membership, they did so due to Russian aggression, see European @HISTORY last 80 years! @WuPeng_MFAChina @MFA_China @ABCWorldNews @CNN @guardian @BBCWorld @nytimes @Reuters'"
